Price	Carat	Clarity	Color	Cut	Source	Year
1037	0.37	6	5	2	Alrosa	2000
1037	0.5	1	4	4	DeBeers	2006
1037	0.33	6	6	2	RioTinto	2010
1037	0.57	3	10	4	Debswana	1984
1037	0.4	6	8	1	Debswana	1976
1037	0.4	6	8	2	Debswana	1985
1037	0.4	6	8	2	Debswana	1971
1037	0.4	6	8	2	DeBeers	1988
1037	0.44	3	4	2	RioTinto	1999
1037	0.31	6	5	2	Debswana	1987
1037	0.31	6	4	2	DeBeers	1963
1037	0.31	6	4	2	Debswana	1979
1037	0.4	4	6	3	DeBeers	2013
1037	0.4	4	6	3	Debswana	1972
1053	0.32	6	6	1	RioTinto	1975
1053	0.32	6	6	2	Alrosa	1990
1053	0.4	5	6	3	RioTinto	1968
1053	0.48	3	7	3	Alrosa	2002
1053	0.33	5	4	2	RioTinto	1983
1054	0.38	4	5	2	Debswana	2011
1054	0.32	7	5	2	RioTinto	1964
1054	0.31	7	7	2	Alrosa	1997
1054	0.53	1	6	3	RioTinto	1970
1054	0.42	4	4	2	Alrosa	1980
1054	0.42	4	4	3	Debswana	1996
1054	0.34	7	6	3	Debswana	1977
1054	0.36	6	5	2	Debswana	1974
1054	0.51	4	10	3	Alrosa	1969
1054	0.34	5	5	2	RioTinto	1998
1054	0.33	6	4	3	DeBeers	1985
1055	0.33	6	5	2	Debswana	2010
1055	0.4	4	5	3	Debswana	1990
1055	0.4	4	5	3	Alrosa	2009
1055	0.4	4	5	2	Debswana	1976
1055	0.41	4	5	3	RioTinto	1984
1055	0.41	4	5	3	RioTinto	1980
1055	0.37	4	5	2	RioTinto	1965
1055	0.4	7	9	3	RioTinto	1983
1055	0.37	5	4	2	Debswana	2017
1076	0.38	4	5	2	Debswana	1993
1076	0.45	3	5	2	Debswana	1983
1076	0.5	1	5	3	RioTinto	1974
1076	0.5	2	7	2	RioTinto	2014
1076	0.5	2	7	2	Alrosa	1992
1076	0.42	4	6	3	Alrosa	1977
1076	0.42	4	6	2	Debswana	1963
1076	0.5	1	5	2	RioTinto	1987
1076	0.5	2	7	3	Alrosa	1978
1076	0.62	3	10	4	RioTinto	1963
1076	0.5	3	10	2	RioTinto	1987
1076	0.39	6	5	2	Debswana	2014
1076	0.39	6	5	2	Alrosa	1985
1077	0.37	6	8	1	Alrosa	1989
1077	0.37	4	4	2	RioTinto	1965
1077	0.37	4	4	2	RioTinto	2001
1077	0.54	1	8	3	Debswana	1981
1077	0.46	3	4	2	Debswana	2012
1077	0.57	3	10	3	Alrosa	1973
1077	0.36	6	7	2	RioTinto	1989
1078	0.38	4	5	1	RioTinto	1990
1078	0.34	7	6	2	DeBeers	1998
1078	0.31	6	5	1	RioTinto	2007
1078	0.52	1	5	2	DeBeers	1965
1078	0.5	3	9	3	DeBeers	2003
1099	0.44	5	7	2	Debswana	2014
1099	0.35	7	7	1	RioTinto	2004
1099	0.35	5	5	2	Debswana	1999
1099	0.55	2	7	2	Debswana	1970
1100	0.32	7	6	1	Alrosa	2000
1100	0.32	7	6	2	Debswana	1998
1100	0.33	6	6	2	RioTinto	1976
1100	0.46	3	5	4	RioTinto	1998
1100	0.42	5	6	3	Alrosa	1984
1100	0.44	3	6	2	Alrosa	1998
1101	0.5	2	5	4	Alrosa	1970
1101	0.4	5	6	2	Alrosa	1986
1101	0.39	7	7	2	Debswana	2011
1101	0.62	4	11	2	DeBeers	2004
1101	0.3	7	5	3	Alrosa	1980
1102	0.43	4	6	3	RioTinto	1996
1102	0.4	4	5	2	DeBeers	1988
1102	0.4	4	5	3	RioTinto	1986
1102	0.4	4	5	2	Debswana	2005
1102	0.64	2	10	2	RioTinto	1988
1102	0.4	4	5	2	Alrosa	1975
1102	0.4	4	5	3	Debswana	1981
1102	0.4	4	5	2	RioTinto	1991
1102	0.4	4	5	2	Alrosa	2009
1102	0.4	4	5	2	DeBeers	1968
1129	0.57	1	6	3	DeBeers	2014
1129	0.57	2	8	2	Alrosa	1964
1129	0.57	2	8	3	Debswana	1974
1129	0.36	6	7	2	Debswana	2006
1129	0.4	4	6	4	Debswana	1992
1129	0.34	7	6	2	Debswana	1963
1129	0.54	2	8	2	Alrosa	1988
1129	0.51	1	5	3	RioTinto	1963
1129	0.45	4	6	2	RioTinto	2000
1129	0.34	7	7	2	Alrosa	2008
1129	0.34	6	6	2	Alrosa	1977
1130	0.4	6	7	3	Debswana	1964
1130	0.4	5	6	2	Debswana	1968
1130	0.41	4	5	2	RioTinto	1983
1130	0.41	4	5	2	Debswana	1980
1130	0.41	4	5	2	RioTinto	1977
1130	0.41	4	5	2	RioTinto	1985
1130	0.41	4	5	2	Debswana	1997
1130	0.41	4	5	2	Alrosa	2013
1130	0.41	4	5	2	RioTinto	2017
1130	0.41	4	5	3	Alrosa	1981
1130	0.41	4	5	2	Debswana	1979
1130	0.41	5	5	2	Debswana	2010
1130	0.41	4	5	2	Debswana	1965
1130	0.41	4	5	3	RioTinto	2017
1154	0.41	6	6	2	DeBeers	1990
1154	0.38	7	5	2	DeBeers	2005
1154	0.38	7	5	2	Alrosa	2001
1154	0.41	6	6	3	RioTinto	1972
1154	0.41	6	6	3	RioTinto	2010
1154	0.41	7	7	3	Alrosa	1966
1154	0.41	6	6	2	Alrosa	2004
1154	0.41	5	4	2	RioTinto	2017
1154	0.41	5	4	3	RioTinto	1995
1155	0.32	7	5	2	DeBeers	1986
1155	0.32	7	5	1	RioTinto	1977
1155	0.42	4	4	3	DeBeers	2010
1155	0.54	2	7	3	DeBeers	1964
1155	0.54	3	7	3	RioTinto	1967
1155	0.61	3	10	2	Debswana	1975
1155	0.41	4	6	2	Debswana	2003
1156	0.5	1	5	3	Debswana	2016
1156	0.5	1	5	3	DeBeers	1976
1156	0.5	1	5	3	RioTinto	2004
1156	0.51	2	6	2	Debswana	1999
1156	0.35	7	7	1	DeBeers	1998
1156	0.45	6	9	2	Debswana	1991
1156	0.4	6	5	3	Alrosa	1982
1156	0.4	6	5	3	Debswana	2003
1156	0.4	6	5	3	Debswana	1971
1171	0.4	5	4	3	Debswana	2005
1171	0.3	7	4	3	Debswana	1967
1171	0.3	7	4	3	RioTinto	1967
1171	0.3	7	4	3	RioTinto	1984
1171	0.5	3	8	2	RioTinto	2017
1172	0.51	2	5	4	DeBeers	1984
1172	0.51	3	7	3	Debswana	1965
1172	0.51	2	5	3	Debswana	1998
1172	0.51	2	5	3	RioTinto	2002
1172	0.51	3	7	3	Debswana	2016
1172	0.52	2	6	3	Alrosa	1986
1172	0.45	5	7	2	RioTinto	1981
1172	0.52	2	8	2	RioTinto	1994
1172	0.47	6	9	2	DeBeers	1971
1172	0.47	4	7	3	RioTinto	1978
1173	0.4	4	6	2	Debswana	1980
1173	0.37	7	8	2	Debswana	1971
1173	0.53	2	5	3	RioTinto	2006
1173	0.33	7	5	2	Debswana	1975
1173	0.51	2	8	2	Debswana	2006
1173	0.38	7	5	2	Debswana	1970
1174	0.47	5	7	3	Debswana	1964
1174	0.35	7	7	2	RioTinto	2012
1174	0.35	7	7	2	RioTinto	2017
1174	0.44	6	5	3	RioTinto	2007
1193	0.31	7	4	1	RioTinto	2006
1193	0.6	4	10	3	RioTinto	2017
1193	0.42	6	7	3	Alrosa	2001
1193	0.42	5	6	2	Debswana	1999
1193	0.42	6	7	3	Debswana	2016
1193	0.42	6	7	3	RioTinto	1976
1193	0.42	6	7	3	Debswana	1965
1194	0.5	4	9	3	DeBeers	2012
1194	0.53	3	6	3	RioTinto	1999
1194	0.5	2	5	2	DeBeers	1967
1194	0.44	5	5	2	Alrosa	1985
1194	0.53	2	6	3	RioTinto	1985
1194	0.5	3	7	3	RioTinto	2009
1194	0.4	4	4	3	RioTinto	1969
1194	0.43	4	5	2	Alrosa	1993
1194	0.42	4	4	2	Debswana	2015
1194	0.52	2	5	3	Debswana	2012
1195	0.35	6	4	2	RioTinto	1976
1195	0.35	6	4	2	RioTinto	2008
1195	0.51	3	8	3	Debswana	1972
1195	0.51	3	8	2	Alrosa	1998
1195	0.51	2	7	2	RioTinto	1975
1195	0.51	1	4	2	DeBeers	1988
1195	0.55	3	8	3	Alrosa	1969
1195	0.41	5	5	2	RioTinto	2002
1215	0.33	7	5	3	RioTinto	2004
1215	0.56	1	6	2	Debswana	1966
1215	0.6	1	6	3	RioTinto	1964
1215	0.4	5	4	3	Debswana	1988
1215	0.4	6	6	3	Debswana	1963
1215	0.4	6	6	2	Debswana	1977
1215	0.4	5	4	2	RioTinto	2008
1215	0.4	7	7	3	Debswana	1998
1215	0.4	5	4	3	Alrosa	2003
1215	0.52	1	4	3	Debswana	1972
1215	0.4	6	6	3	Debswana	1963
1215	0.4	6	6	1	RioTinto	1996
1215	0.4	6	6	2	Debswana	2001
1215	0.4	6	6	2	DeBeers	1963
1215	0.4	6	6	2	RioTinto	2014
1215	0.65	3	10	2	DeBeers	2017
1215	0.4	6	6	3	Debswana	1974
1215	0.4	6	6	3	Debswana	1976
1215	0.4	5	4	2	Alrosa	1965
1215	0.43	4	5	2	RioTinto	1971
1216	0.44	4	4	2	RioTinto	2017
1216	0.41	7	9	1	DeBeers	1970
1216	0.4	4	5	3	RioTinto	2003
1216	0.4	6	7	2	RioTinto	1968
1216	0.4	6	7	2	RioTinto	1973
1237	0.42	6	6	2	RioTinto	2013
1237	0.38	6	6	2	Alrosa	2009
1237	0.62	4	10	4	Alrosa	1989
1237	0.38	6	6	1	Alrosa	1988
1238	0.42	4	4	2	DeBeers	1996
1238	0.54	1	5	3	RioTinto	1974
1238	0.4	5	4	3	DeBeers	1966
1239	0.4	6	6	2	Debswana	1971
1239	0.4	6	6	2	RioTinto	1990
1239	0.4	6	6	2	RioTinto	2004
1239	0.47	4	4	2	RioTinto	1970
1239	0.44	6	6	2	Debswana	2001
1239	0.56	2	7	3	RioTinto	2014
1239	0.4	5	5	1	Debswana	1998
1239	0.61	2	6	3	Alrosa	1972
1239	0.41	5	5	3	RioTinto	2013
1239	0.54	1	4	2	Debswana	1967
1239	0.5	6	10	3	Alrosa	1981
1239	0.6	3	9	2	Alrosa	2015
1240	0.57	1	5	3	Alrosa	1990
1240	0.58	2	7	2	Debswana	2014
1240	0.49	4	6	3	Alrosa	1973
1240	0.43	6	6	3	Debswana	2015
1240	0.61	4	9	4	Alrosa	2003
1240	0.5	2	4	3	RioTinto	1974
1269	0.41	6	6	2	Debswana	1973
1269	0.4	5	5	2	RioTinto	1991
1270	0.45	6	7	2	Debswana	2003
1270	0.45	5	6	2	Alrosa	2013
1270	0.45	6	7	1	RioTinto	2007
1270	0.45	5	6	2	RioTinto	2012
1270	0.33	7	4	3	RioTinto	1992
1270	0.38	6	5	2	Alrosa	1990
1270	0.38	6	5	2	Debswana	2011
1270	0.37	6	5	1	Debswana	1997
1270	0.46	4	6	2	Alrosa	1965
1270	0.39	6	6	1	Debswana	1994
1271	0.71	3	11	3	DeBeers	2001
1271	0.52	2	5	3	Alrosa	1971
1271	0.58	2	5	3	Debswana	1970
1271	0.58	2	5	3	Alrosa	1993
1272	0.53	2	5	2	Alrosa	2001
1272	0.35	7	6	2	Debswana	1985
1272	0.37	7	7	2	Debswana	2003
1272	0.41	6	5	1	RioTinto	1981
1273	0.51	3	7	3	Debswana	2001
1273	0.51	3	7	3	RioTinto	1981
1273	0.39	6	5	2	RioTinto	1975
1273	0.47	5	6	3	Debswana	2013
1273	0.56	2	6	3	RioTinto	1966
1302	0.51	4	8	3	Debswana	1979
1302	0.6	4	10	2	RioTinto	1996
1303	0.72	3	11	3	Debswana	2004
1303	0.52	2	4	3	RioTinto	1971
1303	0.5	2	5	3	RioTinto	2013
1303	0.41	7	6	2	DeBeers	1966
1303	0.5	2	5	2	DeBeers	2014
1303	0.42	6	5	2	RioTinto	2010
1304	0.39	7	6	1	Debswana	1974
1304	0.61	1	5	4	Debswana	2000
1304	0.61	2	7	2	Debswana	2005
1304	0.58	2	4	3	RioTinto	1972
1304	0.43	7	7	2	DeBeers	1966
1304	0.43	6	6	3	Alrosa	2004
1304	0.43	6	6	2	Alrosa	1970
1304	0.43	6	6	2	Alrosa	2003
1304	0.5	3	8	3	Debswana	1988
1304	0.4	6	4	3	Alrosa	1977
1304	0.4	7	5	3	DeBeers	1995
1304	0.4	7	5	3	RioTinto	2013
1304	0.4	6	4	3	Debswana	1971
1304	0.4	6	4	2	Debswana	1992
1304	0.4	6	4	2	Debswana	2013
1304	0.4	6	4	2	Debswana	1971
1305	0.5	2	4	3	RioTinto	1971
1334	0.4	6	5	2	RioTinto	2006
1334	0.4	6	5	2	Alrosa	2008
1334	0.4	6	5	2	RioTinto	1999
1334	0.5	4	8	3	DeBeers	1982
1334	0.7	1	8	3	DeBeers	1991
1334	0.47	4	6	1	RioTinto	1983
1334	0.44	6	6	2	DeBeers	1963
1334	0.5	7	10	4	DeBeers	2015
1335	0.39	7	5	1	RioTinto	1998
1335	0.49	3	5	2	Debswana	2010
1335	0.53	2	4	3	DeBeers	1966
1335	0.6	5	10	3	RioTinto	1974
1335	0.6	3	9	3	DeBeers	1963
1336	0.47	3	4	2	RioTinto	2005
1336	0.54	2	5	3	Debswana	1982
1336	0.7	4	11	3	RioTinto	1981
1336	0.54	2	5	3	RioTinto	1983
1336	0.43	6	6	1	Alrosa	1964
1336	0.43	6	6	2	Debswana	1982
1336	0.71	3	10	4	Debswana	2008
1336	0.64	2	8	4	Alrosa	2015
1336	0.56	2	7	2	Debswana	2004
1336	0.56	2	7	2	RioTinto	1984
1336	0.56	2	7	2	RioTinto	1976
1336	0.5	2	6	2	Debswana	2014
1366	0.5	5	9	2	Alrosa	1977
1367	0.6	3	8	3	Debswana	1983
1367	0.38	7	5	1	Debswana	1965
1367	0.5	6	10	3	Debswana	1996
1367	0.41	6	5	1	Debswana	1984
1367	0.53	3	7	2	RioTinto	1976
1367	0.42	7	7	2	Debswana	1978
1367	0.42	7	7	2	Debswana	1976
1368	0.43	6	8	2	Debswana	1997
1368	0.61	1	5	2	Alrosa	1968
1368	0.4	4	6	3	RioTinto	2017
1368	0.5	4	6	3	RioTinto	1967
1368	0.6	2	7	2	Debswana	1967
1368	0.6	2	7	3	RioTinto	2012
1368	0.6	1	7	2	RioTinto	1987
1368	0.6	1	7	2	Debswana	2009
1368	0.6	1	7	2	RioTinto	1964
1368	0.6	1	7	2	Debswana	1972
1368	0.45	4	5	2	Debswana	2000
1368	0.51	3	8	2	RioTinto	1985
1368	0.5	2	4	3	Debswana	2014
1368	0.5	3	6	3	DeBeers	1986
1369	0.51	4	7	4	Debswana	1992
1369	0.4	5	4	2	RioTinto	1968
1369	0.44	7	6	2	RioTinto	2009
1400	0.47	5	5	3	DeBeers	1970
1400	0.54	3	6	2	Debswana	1988
1400	0.7	2	10	3	DeBeers	2011
1400	0.7	4	11	3	Debswana	1989
1400	0.54	3	6	3	RioTinto	1999
1400	0.7	2	10	3	RioTinto	2014
1400	0.7	2	10	2	Debswana	1984
1400	0.7	1	9	3	Debswana	2013
1400	0.7	2	10	3	Debswana	2011
1400	0.7	2	10	3	Alrosa	1971
1400	0.7	2	10	3	Alrosa	1968
1400	0.7	2	10	3	Debswana	1967
1400	0.7	2	10	3	Debswana	1969
1400	0.7	2	10	2	RioTinto	2007
1400	0.7	2	10	3	RioTinto	2009
1400	0.7	1	9	3	Debswana	2009
1400	0.42	6	5	2	DeBeers	1987
1400	0.42	6	5	2	RioTinto	1972
1401	0.7	2	11	2	DeBeers	1967
1401	0.6	3	9	2	DeBeers	1986
1401	0.42	5	4	2	RioTinto	1971
1401	0.38	7	6	2	Alrosa	2008
1401	0.4	5	4	2	DeBeers	1976
1402	0.42	6	5	2	Alrosa	2005
1402	0.53	3	7	2	RioTinto	1985
1434	0.73	4	11	2	DeBeers	2005
1434	0.41	7	6	2	Debswana	1968
1434	0.48	3	4	2	Alrosa	1987
1434	0.43	4	5	2	Alrosa	2016
1434	0.43	6	5	2	DeBeers	1986
1434	0.5	5	8	2	DeBeers	1997
1434	0.5	4	7	3	Debswana	1994
1434	0.5	3	5	3	DeBeers	1995
1435	0.41	5	4	2	Debswana	1993
1435	0.43	5	4	1	Debswana	1988
1435	0.58	2	5	3	Alrosa	1976
1435	0.58	2	5	2	Debswana	1964
1435	0.58	2	5	3	DeBeers	1999
1435	0.64	1	5	3	Debswana	1963
1436	0.5	4	6	3	Debswana	2004
1436	0.73	1	9	4	Alrosa	1983
1436	0.73	2	10	3	Debswana	1989
1436	0.7	3	11	2	Alrosa	1981
1436	0.45	7	8	2	DeBeers	1984
1436	0.51	2	4	3	Debswana	2004
1436	0.7	4	10	4	RioTinto	1990
1436	0.72	1	10	2	RioTinto	2006
1436	0.5	4	5	4	Debswana	2009
1436	0.72	1	10	2	RioTinto	2001
1436	0.72	1	10	2	Debswana	1976
1471	0.58	3	7	3	RioTinto	2016
1471	0.43	5	4	2	Alrosa	2015
1471	0.72	1	10	2	Debswana	1981
1472	0.5	3	6	3	DeBeers	1986
1472	0.5	3	6	3	Debswana	1983
1472	0.5	3	6	3	DeBeers	1975
1472	0.52	2	4	2	RioTinto	1963
1472	0.5	4	6	3	DeBeers	1978
1472	0.5	4	6	3	Alrosa	1987
1472	0.5	3	4	3	DeBeers	2011
1472	0.41	7	6	2	DeBeers	2010
1472	0.41	7	6	2	RioTinto	1964
1472	0.41	7	6	2	Alrosa	1984
1473	0.4	6	5	2	DeBeers	1987
1473	0.43	7	5	2	Debswana	2010
1473	0.44	6	6	2	RioTinto	2002
1473	0.72	1	9	3	Debswana	2014
1473	0.71	3	10	3	Debswana	1990
1473	0.51	3	5	3	RioTinto	1994
1473	0.73	2	10	3	DeBeers	1976
1473	0.74	3	11	1	DeBeers	2006
1474	0.52	3	5	3	Alrosa	1974
1475	0.42	6	4	2	Debswana	1995
1475	0.42	7	5	2	Debswana	2016
1475	0.42	6	4	3	Debswana	1966
1507	0.6	2	5	4	DeBeers	2001
1507	0.75	4	11	3	Alrosa	1988
1507	0.42	7	5	2	Alrosa	1968
1508	0.5	3	5	3	Alrosa	1974
1508	0.5	3	5	3	DeBeers	2004
1508	0.5	3	5	3	Debswana	2000
1508	0.5	3	5	3	Debswana	1990
1508	0.56	4	8	2	RioTinto	2000
1508	0.5	6	8	3	RioTinto	1983
1508	0.5	3	6	3	DeBeers	1970
1508	0.52	3	4	3	Alrosa	1964
1508	0.5	3	4	3	Debswana	2003
1508	0.5	4	6	2	Debswana	1992
1508	0.54	3	6	2	Alrosa	2004
1508	0.7	2	10	3	RioTinto	1998
1508	0.63	2	6	4	Debswana	2012
1508	0.7	1	9	3	Debswana	1971
1508	0.54	3	6	3	Debswana	2002
1508	0.45	7	6	1	Alrosa	1979
1508	0.54	3	6	2	RioTinto	1990
1508	0.54	3	6	3	Alrosa	1997
1508	0.45	7	6	1	Alrosa	2015
1508	0.7	1	9	2	Alrosa	1996
1508	0.54	3	6	2	Alrosa	1970
1508	0.7	2	9	3	RioTinto	2014
1553	0.5	4	6	3	DeBeers	1978
1553	0.42	6	4	1	Alrosa	2000
1553	0.42	6	4	2	Debswana	1996
1553	0.5	3	5	3	Debswana	1980
1553	0.75	3	11	2	DeBeers	1979
1554	0.43	6	4	2	Alrosa	1963
1554	0.51	4	4	4	Alrosa	1966
1554	0.7	1	8	3	RioTinto	1966
1554	0.7	2	9	3	RioTinto	1989
1554	0.7	1	7	3	Alrosa	1981
1555	0.71	1	6	3	RioTinto	2012
1555	0.71	1	6	4	Alrosa	1976
1555	0.73	1	9	3	DeBeers	1970
1555	0.65	4	9	2	Debswana	2005
1555	0.55	2	5	1	Alrosa	1996
1556	0.4	6	4	3	DeBeers	1998
1556	0.4	6	4	2	RioTinto	1987
1556	0.5	4	5	3	DeBeers	2005
1556	0.5	4	5	3	DeBeers	1989
1556	0.5	4	5	3	DeBeers	1981
1556	0.6	2	4	2	RioTinto	2015
1556	0.65	2	6	3	Alrosa	1979
1556	0.52	3	6	1	Debswana	1975
1556	0.5	4	5	3	Alrosa	1988
1556	0.52	3	6	2	Alrosa	1966
1591	0.59	2	5	2	DeBeers	1987
1591	0.59	3	7	2	RioTinto	1998
1591	0.55	3	5	3	RioTinto	1979
1591	0.62	2	5	3	DeBeers	1988
1592	0.56	3	6	2	RioTinto	2003
1592	0.71	1	8	3	DeBeers	2000
1592	0.7	3	10	3	RioTinto	1973
1592	0.7	3	10	3	RioTinto	1970
1592	0.57	3	6	4	RioTinto	2017
1592	0.57	3	6	2	Alrosa	1966
1592	0.57	3	6	2	RioTinto	2013
1592	0.57	3	6	2	RioTinto	2008
1592	0.57	3	6	2	DeBeers	2014
1592	0.53	3	5	3	Alrosa	1991
1592	0.51	6	8	3	RioTinto	2004
1593	0.5	4	6	4	Debswana	2006
1593	0.5	4	6	3	Debswana	1979
1594	0.7	2	8	3	Debswana	1998
1594	0.5	3	5	2	RioTinto	1964
1594	0.48	7	8	1	Debswana	2012
1594	0.7	1	8	3	Alrosa	2014
1594	0.7	1	8	3	Alrosa	1996
1594	0.7	1	8	3	Debswana	1968
1594	0.7	1	8	3	Debswana	2014
1594	0.7	1	8	3	Debswana	2004
1626	0.62	2	6	3	RioTinto	1967
1626	0.54	3	4	3	RioTinto	1976
1627	0.7	1	9	2	Alrosa	1980
1627	0.72	1	6	2	RioTinto	2014
1627	0.8	1	10	4	RioTinto	1973
1627	0.5	4	6	2	DeBeers	1967
1627	0.5	4	6	2	Debswana	1993
1628	0.5	4	5	3	Debswana	1984
1628	0.51	4	6	2	Alrosa	2011
1628	0.51	4	6	2	DeBeers	1974
1628	0.5	4	5	3	Alrosa	2005
1628	0.47	5	5	2	RioTinto	1964
1629	0.71	4	10	4	Debswana	1976
1629	0.52	7	9	2	Alrosa	1994
1629	0.52	5	7	2	Debswana	1964
1629	0.52	5	7	3	DeBeers	1994
1629	0.52	5	7	3	RioTinto	1994
1629	0.62	3	7	2	Debswana	2010
1629	0.62	2	5	3	Debswana	2013
1629	0.56	3	6	2	Alrosa	1974
1630	0.64	2	5	2	RioTinto	2001
1630	0.7	4	10	2	RioTinto	1989
1630	0.63	2	6	3	DeBeers	1967
1630	0.7	2	8	4	RioTinto	1980
1630	0.5	5	4	4	Debswana	1997
1668	0.57	3	5	2	Debswana	2001
1668	0.38	7	4	2	Debswana	1983
1668	0.46	5	4	3	Debswana	1964
1670	0.72	2	10	3	Debswana	1972
1670	0.72	2	9	3	Alrosa	2016
1670	0.61	2	6	2	Debswana	1967
1670	0.78	1	7	4	Alrosa	1967
1670	0.56	3	4	3	Alrosa	2012
1670	0.55	6	9	2	DeBeers	1974
1671	0.5	4	7	3	Debswana	1999
1671	0.5	4	7	3	RioTinto	1974
1671	0.7	1	7	3	RioTinto	1994
1671	0.66	2	6	3	Debswana	2005
1671	0.7	1	7	3	DeBeers	1986
1671	0.7	2	8	4	RioTinto	1963
1672	0.72	4	10	2	Alrosa	1969
1672	0.7	1	8	3	Alrosa	1966
1672	0.7	1	8	3	RioTinto	1982
1672	0.7	2	9	4	RioTinto	1964
1672	0.7	2	9	3	Debswana	1968
1672	0.62	2	7	2	Alrosa	1981
1673	0.56	3	4	2	RioTinto	1970
1673	0.41	7	4	2	Debswana	2014
1673	0.52	3	4	1	DeBeers	2013
1674	0.7	1	7	3	Debswana	1984
1709	0.56	5	9	3	Debswana	1988
1709	0.61	3	7	2	Alrosa	2007
1710	0.57	3	4	2	Alrosa	1976
1710	0.7	1	6	3	Debswana	1991
1710	0.78	2	10	2	RioTinto	1998
1710	0.52	4	4	2	Debswana	1995
1710	0.59	2	6	2	RioTinto	1963
1711	0.56	4	8	2	Debswana	1972
1711	0.56	4	8	2	Alrosa	2008
1711	0.56	4	8	2	RioTinto	1974
1711	0.51	4	5	2	Alrosa	1987
1712	0.5	3	5	1	Debswana	1998
1712	0.49	6	7	2	Debswana	1997
1712	0.76	1	6	3	Debswana	1989
1712	0.71	5	11	3	Alrosa	2008
1713	0.58	3	5	2	Debswana	2014
1713	0.62	2	4	2	RioTinto	2002
1713	0.56	3	6	2	RioTinto	1964
1715	0.5	5	6	3	Debswana	1984
1715	0.71	3	10	2	DeBeers	1996
1715	0.53	5	7	3	DeBeers	1976
1715	0.75	2	10	1	Alrosa	2002
1715	0.71	2	9	2	DeBeers	1971
1715	0.71	2	9	2	RioTinto	1995
1715	0.71	1	8	3	Debswana	2017
1751	0.71	1	7	3	RioTinto	1998
1752	0.62	2	7	2	Debswana	1983
1752	0.62	2	7	2	DeBeers	1977
1752	0.71	4	10	2	Debswana	2011
1752	0.51	3	4	2	Debswana	2006
1752	0.7	1	6	3	DeBeers	1975
1752	0.52	4	5	2	Debswana	1987
1753	0.58	3	6	4	Debswana	1972
1753	0.74	1	8	2	Debswana	2014
1753	0.51	3	4	3	Debswana	1996
1754	0.54	3	6	1	RioTinto	1997
1754	0.5	4	6	3	RioTinto	1993
1754	0.5	4	5	3	RioTinto	1995
1756	0.55	4	6	2	DeBeers	1974
1756	0.5	4	4	3	DeBeers	1993
1756	0.5	4	4	3	RioTinto	1966
1756	0.72	2	8	2	Debswana	1997
1756	0.58	2	4	2	RioTinto	1977
1756	0.71	1	8	3	Debswana	1998
